#  Table F110W_filter.tab  Thu 14:41:52 08-May-2014
#      WAVELENGTH      THROUGHPUT
#           angstroms                
     8956.649       0.1365729
     8957.377       0.1382371
     8958.105       0.1399042
     8958.828       0.1415587
     8959.561       0.1432364
     8960.289       0.1449023
     8961.012       0.1465504
      8961.74       0.1482124
     8962.468       0.1498736
     8963.191       0.1516131
      8963.92       0.1533651
     8964.653       0.1551293
     8965.377       0.1568706
     8966.104        0.158622
     8966.833       0.1603762
     8967.557       0.1621194
     8968.286       0.1638772
     8969.015       0.1656333
     8969.743       0.1673901
     8970.467       0.1691422
     8971.196        0.170913
     8971.925       0.1726822
     8972.654       0.1744706
     8973.383       0.1763023
     8974.112       0.1781374
     8974.831       0.1799462
     8975.565       0.1817952
      8976.29       0.1836205
      8977.02       0.1854589
     8977.749       0.1872983
     8978.479       0.1891384
     8979.208       0.1909794
     8979.938       0.1928212
     8980.667       0.1946533
     8981.387       0.1964606
     8982.116       0.1982929
     8982.846       0.2001217
     8983.576         0.20195
     8984.301       0.2037641
     8985.031       0.2055936
     8985.756        0.207409
     8986.491        0.209252
     8987.222       0.2110835
     8987.946       0.2129007
     8988.677       0.2147334
     8989.407       0.2165666
     8990.133       0.2183882
     8990.868       0.2202351
     8991.599       0.2220703
     8992.324        0.223894
     8993.055        0.225673
     8993.786        0.227441
     8994.512       0.2291955
     8995.242       0.2309623
     8995.974       0.2327321
     8996.699       0.2344884
     8997.431       0.2362594
     8998.161       0.2380287
     8998.888       0.2397891
     8999.624       0.2415738
     9000.354       0.2433321
     9001.081       0.2450677
     9001.813       0.2468153
     9002.544       0.2485517
     9003.275       0.2501865
     9004.007       0.2518215
     9004.738       0.2534568
     9005.471       0.2550945
     9006.197       0.2567193
     9006.929       0.2583552
     9007.655       0.2599805
     9008.388       0.2616191
     9009.119       0.2632556
     9009.852       0.2648946
     9010.574       0.2664995
     9011.306       0.2681208
     9012.043        0.269755
     9012.771       0.2712974
     9013.503       0.2727474
     9014.235       0.2741975
     9014.968       0.2756476
     9015.695       0.2770881
     9016.433        0.278548
     9017.155       0.2799788
     9017.897       0.2814483
     9018.631       0.2829005
     9019.354       0.2843314
     9020.086       0.2857837
     9020.819       0.2872537
     9021.547       0.2887123
      9022.28       0.2901827
     9023.013        0.291538
     9023.741       0.2928452
     9024.475       0.2941611
     9025.208       0.2954772
     9025.941       0.2967937
