#  Table F814W_filter.tab  Thu 14:45:22 08-May-2014
#     WAVELENGTH      THROUGHPUT
#         angstroms                
     7279.792       0.2126729
     7281.035       0.2126519
     7282.282       0.2126287
     7283.529       0.2126121
     7284.773       0.2125955
     7286.021       0.2125788
     7287.265        0.212562
     7288.513       0.2125451
     7289.762       0.2125281
      7291.01         0.21253
     7292.255       0.2125445
       7293.5       0.2125926
      7294.75       0.2126406
        7296.       0.2126886
     7297.249       0.2127365
     7298.495       0.2127842
     7299.746       0.2128319
     7300.992       0.2128609
     7302.243       0.2128847
     7303.493       0.2129074
      7304.74         0.21293
     7305.992       0.2129525
     7307.239       0.2129748
     7308.495       0.2129971
     7309.743       0.2130192
     7310.991       0.2130599
     7312.243       0.2131095
     7313.492       0.2131767
     7314.749       0.2132442
     7315.998       0.2133112
      7317.25       0.2133782
       7318.5       0.2134449
      7319.75       0.2135115
     7321.003       0.2135594
     7322.258       0.2136026
     7323.512       0.2136461
     7324.762       0.2136893
     7326.021       0.2137326
     7327.272       0.2137756
     7328.523       0.2138184
     7329.778       0.2138612
     7331.034       0.2139234
      7332.29       0.2139866
     7333.542       0.2140381
     7334.798       0.2140896
      7336.05        0.214141
     7337.303       0.2141921
     7338.564       0.2142436
     7339.817       0.2142945
     7341.074       0.2143254
     7342.328       0.2143537
     7343.585       0.2143855
     7344.843       0.2144174
     7346.097       0.2144488
     7347.356       0.2144804
      7348.61       0.2145118
     7349.869       0.2145429
     7351.128       0.2145954
     7352.387       0.2146371
     7353.643       0.2146462
     7354.898       0.2146552
     7356.158       0.2146642
     7357.418       0.2146731
     7358.679       0.2146818
     7359.935       0.2146905
     7361.196       0.2146766
     7362.453       0.2146555
     7363.714       0.2146226
     7364.975       0.2145897
     7366.233       0.2145567
     7367.495       0.2145236
     7368.752       0.2144906
     7370.015       0.2144576
     7371.277       0.2144482
     7372.536       0.2144206
     7373.799       0.2143657
     7375.058       0.2143109
     7376.325       0.2142557
     7377.584       0.2142008
     7378.848       0.2141457
     7380.108       0.2140887
     7381.369       0.2140101
     7382.637       0.2139217
     7383.897       0.2138235
     7385.162        0.213725
     7386.423       0.2136267
     7387.692       0.2135281
     7388.954       0.2134297
     7390.216       0.2133357
     7391.481       0.2132612
     7392.744       0.2131795
     7394.014       0.2130916
     7395.276       0.2130042
     7396.543       0.2129165
     7397.806       0.2128291
     7399.069       0.2127418
     7400.341       0.2126475
     7401.604       0.2125365
     7402.873        0.212376
     7404.136       0.2121907
     7405.405       0.2120046
     7406.673       0.2118188
     7407.938       0.2116336
     7409.207        0.211448
     7410.472        0.211272
     7411.741       0.2111103
     7413.011       0.2109521
     7414.281       0.2107949
     7415.547       0.2106383
     7416.813       0.2104818
     7418.083       0.2103248
     7419.354        0.210168
     7420.625       0.2099996
     7421.892       0.2098199
     7423.164        0.209603
     7424.431        0.209382
     7425.703       0.2091603
     7426.975       0.2089389
     7428.243       0.2087183
     7429.515       0.2084971
     7430.784       0.2082997
     7432.061       0.2081155
      7433.33       0.2079316
     7434.599       0.2077478
     7435.873       0.2075633
     7437.142       0.2073797
     7438.416       0.2071956
      7439.69       0.2070114
     7440.964       0.2068099
     7442.235       0.2066021
     7443.506       0.2063879
     7444.785       0.2061725
     7446.056       0.2059585
     7447.332        0.205744
     7448.603       0.2055303
     7449.883       0.2053152
     7451.151       0.2051233
     7452.432       0.2049325
     7453.704       0.2047442
     7454.977       0.2045561
     7456.258       0.2043669
     7457.531       0.2041789
     7458.809       0.2039904
     7460.082       0.2038011
      7461.36       0.2035897
     7462.638       0.2033791
     7463.912       0.2031703
     7465.191        0.202961
     7466.465       0.2027525
     7467.745       0.2025433
     7469.023       0.2023343
     7470.303       0.2021308
     7471.579       0.2019455
     7472.854       0.2017555
     7474.134       0.2015623
     7475.415       0.2013691
     7476.695       0.2011759
     7477.972       0.2009835
     7479.253       0.2007906
      7480.53        0.200589
     7481.811       0.2003737
     7483.093       0.2002127
     7484.371       0.2000654
     7485.653       0.1999176
     7486.931       0.1997704
     7488.213       0.1996227
     7489.496       0.1994751
     7490.775        0.199342
     7492.058       0.1992177
     7493.337       0.1990845
     7494.621       0.1989509
     7495.904       0.1988173
     7497.188       0.1986838
     7498.469       0.1985507
     7499.749       0.1984176
     7501.034       0.1982593
     7502.318       0.1981058
     7503.604       0.1979966
     7504.885       0.1978879
      7506.17       0.1977787
     7507.452       0.1976699
     7508.738       0.1975608
     7510.024       0.1974522
     7511.307       0.1973664
     7512.598       0.1972778
      7513.88       0.1971868
     7515.167       0.1970955
     7516.451       0.1970045
     7517.734       0.1969135
     7519.021       0.1968221
     7520.306       0.1967259
     7521.598        0.196612
     7522.882        0.196523
     7524.171       0.1964478
     7525.459       0.1963726
     7526.745       0.1962975
     7528.034       0.1962223
     7529.319       0.1961472
     7530.609       0.1960825
     7531.899       0.1960298
     7533.189       0.1959919
     7534.476       0.1959565
     7535.762        0.195921
     7537.053       0.1958853
     7538.344       0.1958496
     7539.635       0.1958139
     7540.922       0.1957622
     7542.214       0.1957071
     7543.502       0.1956785
     7544.794       0.1956497
     7546.086       0.1956208
     7547.375       0.1955919
     7548.668       0.1955629
     7549.957        0.195534
      7551.25       0.1955267
     7552.543       0.1955291
     7553.833       0.1955476
     7555.127       0.1955661
     7556.417       0.1955845
